Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

value,metric
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,4846c3e2-20bc-407a-8a2c-3b3a6374bde0,METROLOG21
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,6d1abdee-5645-4987-bb2e-84526a2c74bc,METROLOG32
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,f76c4549-05b5-413e-a01b-4d7cfddfbe9a,METROLOG37
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,d4d4b525-f102-4ed1-a728-fc4649ec9589,OTD12NOT03
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,f4771855-d48f-40de-9dba-8953ee341591,OTD12NOT06
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,b75bc985-7b74-4350-9fa2-dcff80514e9e,OTD12PC33
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,10e2f797-7a09-4d9f-9214-98a004472366,OTD12PC36
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,0684cd27-048d-463e-b461-448c7b72a162,OTD12PC40
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,eb737406-bff4-422f-b139-8ed8a2a3da29,OTD12PC44
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,05044306-aea9-4de3-a33e-4666b9b44e73,OTD12PC52
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,48366e6b-9ed3-4e60-b5ef-1431bd6e9bfc,OTD12PC53
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,22878ffb-2771-4172-a304-64a34eaf5e69,PDB04
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,9c31ef53-8f79-47d6-a565-ff3e586f275e,PDB20
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,d12bd60c-b95a-45d7-8c71-22c77c29ca67,PDB21
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,44d19f85-c935-48c5-881d-114b09abd12b,PDB22
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,bd50fefb-e7f5-49bd-acec-a68322d1ea87,PDB25
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,41541f14-e96e-455c-ac92-5347cb882878,PLOTD17
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,969be4a1-c615-4a52-ae36-1ddac39d3686,PRO50
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,52076ef7-1e14-4b80-8b8a-ceffa81f604b,PRO51
1,1,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,7339a287-f548-467f-93fe-9f22f14eae9e,S05-CRT
